;Title;Date;Time;Score;Number of Comments
130;A disbarred Pennsylvania attorney has been charged with stealing nearly $147,000 from special needs clients whose money he was supposed to manage.;4/12/2017;19:16:43;451;34
131;North Korea May Be Preparing Its 6th Nuclear Test;4/13/2017;9:05:19;35;12
132;Bitcoin value rises over $1 billion as Japan, Russia move to legitimize cryptocurrency;4/12/2017;16:52:18;634;231
133;NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates;4/13/2017;16:17:40;10;3
134;Huddersfield child sex inquiry sees 29 in court - BBC News;4/13/2017;16:07:53;8;3
135;Dallas Passes Cite and Release for Small Amounts of Pot;4/13/2017;1:39:29;108;13
136;Mans body, seen tossed from plane, found on roof of Mexican hospital;4/13/2017;1:19:32;107;27
137;United passenger threatened with handcuffs to make room for higher-priority traveler;4/12/2017;2:29:44;33211;3578
138;Boys accused of sexual assault of Twin Falls 5-year-old plead guilty;4/13/2017;11:29:10;18;11
139;California motorcyclist decapitated in freak accident;4/13/2017;9:26:27;21;20
140;Mom of 4 U.S.-born children to be deported after appeals court blocks stay;4/12/2017;17:26:39;425;1176
141;Bill would pull NC colleges out of ACC if state is boycotted again;4/13/2017;1:47:18;80;34
142;Law enforcement officers may be illegally selling guns, ATF says;4/13/2017;15:51:37;6;2
143;A Capitol Hill man from whom federal agents said they seized thousands of dollars of counterfeit DVD box sets of The West Wing pleaded guilty to a federal charge.;4/13/2017;15:51:19;6;0
144;A Rhode Island Mayor ask police to stop kids from playing pickup basketball on public parks.;4/13/2017;14:55:27;8;6
145;Charging Bull creator plans to fight NYC on Fearless Girl statue;4/12/2017;17:07:31;355;515
146;A USAF airman stabbed an American woman soldier at the Aviano air base in northern Italy;4/13/2017;10:16:18;16;3
147;Judge backs lawyers claim that D.A. in San Antonio threatened defense lawyers in her chambers;4/13/2017;4:39:39;42;3
148;DeVos Undoes Obama Student Loan Protections;4/12/2017;0:42:00;26848;4873
149;Alabama Megachurch Moves Closer to Getting Own Police Force;4/13/2017;6:47:44;28;7
150;After 26 years on the lam, brother of famed Miami Cocaine Cowboy is arrested in Orlando;4/13/2017;14:55:41;6;2
151;Nations First Public Needle Vending Machine for Drug Users Debuts in Las Vegas;4/13/2017;8:23:28;22;10
152;A Pennsylvania man who assumed the identity of a baby who died in Texas in 1972 was arrested on charges of Social Security fraud and aggravated identity theft after the childs aunt discovered the ruse through Ancestry.com, federal authorities said.;4/12/2017;23:06:58;105;23
153;Alabama ends death penalty by judicial override;4/12/2017;13:24:13;613;100
154;US Customs electronic device searches on international air passengers up 58%;4/13/2017;4:07:55;40;8
155;Teen denied double-lung transplant after smoking marijuana;4/12/2017;16:31:38;333;170
156;Apple has a secret team working on the holy grail for treating diabetes -;4/13/2017;3:14:46;46;24
157;Arkansas rushes to execute 7 inmates before lethal drug expires;4/13/2017;7:06:34;23;6
