ActivityNumber,HobbyName,ActivityName,SeasonName,Status,CategoryName,Community Center,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,Minimum Age,Maximum Age,WeekDays,NumberOfHours,NumberOfDates, Fee 
251.2.1412,Architecture,Morning Stretch/Body Conditioning,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,85,19/10/2015,18/12/2015,08:50 a. m.,09:30 a. m.,50,0,M W F,16.667,25, $28.00 
251.2.1512,Aromatherapy,Morning Stretch/Body Conditioning,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,101,19/10/2015,18/12/2015,08:00 a. m.,08:40 a. m.,50,0,M W F,16.667,25, $28.00 
251.2.1835,Art Activities,Morning Stretch/Body Conditioning,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,108,24/08/2015,16/10/2015,08:00 a. m.,08:40 a. m.,50,0,M W F,14.667,22, $26.00 
251.2.1836,Art Collecting / Collectibles,Morning Stretch/Body Conditioning,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,75,24/08/2015,16/10/2015,08:50 a. m.,09:30 a. m.,50,0,M W F,14.667,22, $26.00 
251.2.1856,Art and Crafts,Piano Keyboarding 1A,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,9,23/10/2015,18/12/2015,09:30 a. m.,10:15 a. m.,50,0,F,6,8, $28.00 
251.2.1858,Art collecting,Piano Keyboarding 1B,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,10,23/10/2015,18/12/2015,10:30 a. m.,11:15 a. m.,50,0,F,6,8, $28.00 
251.2.1864,Art/antique collecting,Spanish Intermediate,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,18,24/08/2015,26/10/2015,01:00 p. m.,03:00 p. m.,50,0,M,16,8, $44.00 
251.2.1573,Arts and Crafts,Tai Chi,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,11,07/10/2015,04/11/2015,10:30 a. m.,11:30 a. m.,50,0,W,5,5, $39.00 
251.2.1574,Arts/cultural,Tai Chi,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,17,02/09/2015,30/09/2015,10:30 a. m.,11:30 a. m.,50,0,W,4,4, $33.00 
251.2.1872,Artwork,Tai Chi,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,15,18/11/2015,16/12/2015,10:30 a. m.,11:30 a. m.,50,0,W,5,5, $39.00 
251.2.0615,Association football,Tai Chi for Strength and Balance,Fall 2015,Cancelled,Active Adults (50+) Classes,Almaden Community Center,0,06/10/2015,06/10/2015,11:30 a. m.,12:30 p. m.,50,0,Tu,1,1, $43.00 
251.2.0616,Astrology,Tai Chi for Strength and Balance,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,6,24/11/2015,15/12/2015,11:30 a. m.,12:30 p. m.,50,0,Tu,3,3, $29.00 
251.2.1576,Astronomy,Voice Lessons,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,20,27/10/2015,15/12/2015,03:00 p. m.,05:00 p. m.,50,0,Tu,16,8, $43.00 
251.2.1880,Audiophilia,Voice Lessons,Fall 2015,Closed,Active Adults (50+) Classes,Almaden Community Center,20,01/09/2015,20/10/2015,03:00 p. m.,05:00 p. m.,50,0,Tu,16,8, $43.00 
213.2.1945,Australian Football League,Hula - Beg,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,7,11/09/2015,16/10/2015,09:00 a. m.,10:30 a. m.,50,99,F,9,6, $13.00 
213.2.1946,Auto audiophilia,Hula - Beg,Fall 2015,Cancelled,Active Adults (50+) Classes,Berryessa Community Center,0,23/10/2015,04/12/2015,09:00 a. m.,10:30 a. m.,50,99,F,9,6, $13.00 
213.2.1802,Auto racing,Mixed Media Art,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,16,21/08/2015,25/09/2015,01:00 p. m.,03:00 p. m.,50,99,F,12,6, $59.00 
